Month,Violent,Property,Other
July-2020,493,2608,572
June-2020,496,2145,517
May-2020,472,2169,571
April-2020,436,2874,568
March-2020,487,3356,523
February-2020,456,3564,586
January-2020,503,3663,634
December-2019,478,3511,482
November-2019,462,3871,569
October-2019,455,4156,610
September-2019,521,4269,643
August-2019,583,4045,696
July-2019,541,3925,625
June-2019,471,3487,536
May-2019,525,3656,586
April-2019,450,3393,520
March-2019,460,3333,536
February-2019,369,2934,479
January-2019,379,3604,548
December-2018,458,3340,447
November-2018,411,3389,528
October-2018,398,3423,557
September-2018,423,3523,543
August-2018,445,3522,539
July-2018,451,3398,541
June-2018,433,3518,593
May-2018,420,3402,580
April-2018,386,3577,506
March-2018,416,3305,523
February-2018,417,3164,507
January-2018,447,3824,546
